Altitude_m,Temperature_K,Pressure_Pa,Density_kg_m3,Speed_of_Sound_m_s,UAV_Speed_M0.1_m_s,UAV_Speed_M0.15_m_s,UAV_Speed_M0.2_m_s,UAV_Speed_M0.25_m_s,UAV_Speed_M0.3_m_s,UAV_Speed_M0.35_m_s,UAV_Speed_M0.4_m_s,UAV_Speed_M0.45_m_s,UAV_Speed_M0.5_m_s
11500,216.64999999999998,20915.835847374416,0.33632486779193244,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
12000,216.64999999999998,19330.062328740987,0.3108257640078833,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
12500,216.64999999999998,17864.517218417368,0.287259922840002,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
13000,216.64999999999998,16510.085173011288,0.2654807703390734,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
13500,216.64999999999998,15258.341946071097,0.24535284533611665,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
14000,216.64999999999998,14101.501991268597,0.22675095690600558,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
14500,216.64999999999998,13032.370038145269,0.2095594057095722,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
15000,216.64999999999998,12044.296339234654,0.19367126437112725,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
15500,216.64999999999998,11131.135310208438,0.17898771241551464,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
16000,216.64999999999998,10287.207305797854,0.16541742162816708,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
16500,216.64999999999998,9507.263293745647,0.1528759880152476,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
17000,216.64999999999998,8786.452207068945,0.14128540683080343,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
